Name,Cumulative Enrollment ,Chronic absenteeism elgible enrollment,Absent Count,Absent Rate,Total Suspension ,Unduplicated Count of Students Suspended ,Suspension Rate,percent students one suspension ,percent of students with multiple suspensions,school_address
ABC Unified,"21,306","21,026","1,457",6.90%,583,410,1.90%,75.90%,24.10%,"16700 Norwalk Blvd, Cerritos, CA 90703"
Acton-Agua Dulce Unified,"25,196","22,918","3,554",15.50%,82,63,0.30%,79.40%,20.60%,"33792 Crown Valley Rd, Acton, CA 93510, USA"
Alhambra Unified,"17,485","17,210",666,3.90%,41,39,0.20%,94.90%,5.10%,"1515 W Mission Rd, Alhambra, CA 91803"
Antelope Valley Union High,"25,491","24,523","5,417",22.10%,"3,691","2,255",8.80%,67.40%,32.60%,"44811 N. Sierra Hwy. Lancaster, CA 93534-3226 "
Arcadia Unified,"9,804","9,697",403,4.20%,159,128,1.30%,85.20%,14.80%,"150 S 3rd Ave. Arcadia, CA 91006"
Azusa Unified,"8,892","8,641",778,9.00%,476,337,3.80%,73.90%,26.10%,"546 South Citrus Ave. Azusa, CA 91702-0500 "
Baldwin Park Unified,"27,278","20,740","2,434",11.70%,768,467,1.70%,69.60%,30.40%,"3699 Holly Ave, Baldwin Park, CA 91706"
Bassett Unified,"3,814","3,723",373,10.00%,135,102,2.70%,79.40%,20.60%,"8886 Venice Blvd, Los Angeles, CA 90034, USA"
Bellflower Unified,"12,649","12,379","1,309",10.60%,927,602,4.80%,71.60%,28.40%,"16703 S. Clark Ave. Bellflower, CA 90706"
Beverly Hills Unified,"4,095","4,019",364,9.10%,233,158,3.90%,73.40%,26.60%,"255 S Lasky Dr, Beverly Hills, CA 90212"
Bonita Unified,"10,747","10,420",805,7.70%,509,355,3.30%,75.20%,24.80%,"115 W. Allen Ave, San Dimas, CA 91773"
Burbank Unified,"15,642","15,470","1,296",8.40%,655,471,3.00%,76.20%,23.80%,"1900 West Olive Avenue, Burbank, CA 91506"
Castaic Union,"2,266","2,219",133,6.00%,41,33,1.50%,78.80%,21.20%,"28131 Livingston Ave, Valencia, CA 91355, USA"
Centinela Valley Union High,"11,065","8,739","2,727",31.20%,272,242,2.20%,90.10%,9.90%,"14901 S Inglewood Ave, Lawndale, CA 90260, USA"
Charter Oak Unified,"5,095","4,982",439,8.80%,251,144,2.80%,68.80%,31.30%,"20240 E Cienega Ave Covina, Ca 91724"
Claremont Unified,"7,278","7,220",559,7.70%,182,132,1.80%,74.20%,25.80%,"170 W. San Jose Ave. Claremont, California 91711"
Compton Unified,"25,475","24,731","3,765",15.20%,646,484,1.90%,76.70%,23.30%,"417 W Alondra Blvd, Compton CA 90220"
Covina-Valley Unified,"12,497","12,228","1,110",9.10%,599,453,3.60%,78.10%,21.90%,"3145 E Garvey Ave North West Covina, CA 91791, USA"
Culver City Unified,"7,197","7,120",571,8.00%,165,121,1.70%,80.20%,19.80%,"4034 Irving Place 
Culver City, CA 90232"
Downey Unified,"22,929","22,528","2,457",10.90%,911,676,2.90%,79.60%,20.40%," 11627 Brookshire Ave. Downey, CA 90241-7017"
Duarte Unified,"9,797","4,674",417,8.90%,199,151,1.50%,78.10%,21.90%,"1620 E Huntington Dr, Duarte, CA 91010"
East Whittier City Elementary,"9,028","8,866",523,5.90%,221,171,1.90%,80.70%,19.30%,"16021 Janine Dr, Whittier, CA 90603, USA"
Eastside Union Elementary,"3,895","3,727",722,19.40%,298,202,5.20%,71.30%,28.70%,"45006 30th St E, Lancaster, CA 93535, USA"
El Monte City,"8,729","8,573",345,4.00%,131,94,1.10%,76.60%,23.40%,"3540 North Lexington Ave. El Monte, CA 91731-2684"
El Monte Union High,"9,357","9,084","1,110",12.20%,385,286,3.10%,75.50%,24.50%,"3048 Tyler Ave, El Monte, CA 91731, USA"
El Rancho Unified,"9,115","8,923",919,10.30%,317,232,2.50%,79.70%,20.30%,"70 Olvera St, Los Angeles, CA 90012, USA"
El Segundo Unified,"3,539","3,516",186,5.30%,48,43,1.20%,88.40%,11.60%,"641 Sheldon St, El Segundo, CA 90245"
Garvey Elementary,"5,224","4,859",307,6.30%,84,68,1.30%,86.80%,13.20%,"5760 6th Ave, Los Angeles, CA 90043, USA"
Glendale Unified,"26,886","26,608","1,731",6.50%,732,527,2.00%,77.40%,22.60%,"223 North Jackson Street, Glendale, CA 91206"
Glendora Unified,"7,632","7,540",471,6.20%,189,149,2.00%,83.90%,16.10%,"500 N. Loraine Ave. Glendora, CA 91741"
Gorman Joint,95,92,22,23.90%,3,3,3.20%,100.00%,0.00%,"49847 Gorman School Rd. Gorman, CA 93243-0104"
Hacienda la Puente Unified,"19,410","19,007","1,516",8.00%,816,602,3.10%,76.90%,23.10%,"15959 E. Gale Ave, City Of Industry, CA 91745 "
Hawthorne,"8,871","8,705",818,9.40%,146,96,1.10%,71.90%,28.10%,"14120 Hawthorne Blvd, Hawthorne, CA 90250"
Hermosa Beach City Elementary,"1,394","1,379",59,4.30%,8,8,0.60%,100.00%,0.00%,"1800 Prospect Ave, Hermosa Beach, CA 90254, USA"
Hughes-Elizabeth Lakes Union Elementary,210,207,38,18.40%,2,2,1.00%,100.00%,0.00%,"16633 Elizabeth Lake Rd, Lake Hughes, CA 93532, USA"
Inglewood Unified,"12,932","12,482","1,788",14.30%,438,331,2.60%,77.90%,22.10%,"401 South Inglewood Ave. Inglewood, CA 90301-2501 "
Keppel Union Elementary,"3,461","3,358",322,9.60%,131,85,2.50%,67.10%,32.90%,"34004 128th St E, Pearblossom, CA 93553, USA"
La Canada Unified,"4,218","4,178",137,3.30%,67,48,1.10%,70.80%,29.20%,"4490 Cornishon Ave. La Canada, CA 91011-3243"
Lancaster Elementary,"17,213","16,586","2,911",17.60%,"1,836","1,049",6.10%,64.30%,35.70%,"44130 20th St W, Lancaster, CA 93534, USA"
Las Virgenes Unified,"11,658","11,524",841,7.30%,172,140,1.20%,85.70%,14.30%,"4111 Las Virgenes Road Calabasas, CA 91302"
Lawndale Elementary,"6,203","6,119",443,7.20%,95,86,1.40%,89.50%,10.50%,"4521 W 147th St, Lawndale, CA 90260, USA"
Lennox,"7,498","7,389",783,10.60%,150,127,1.70%,89.00%,11.00%,"10319 Firmona Ave, Lennox, CA 90304"
Little Lake City Elementary,"4,664","4,603",249,5.40%,35,33,0.70%,93.90%,6.10%,"Little Lake City Elementary, CA, USA"
Long Beach Unified,"78,303","76,560","10,205",13.30%,"4,952","3,152",4.00%,70.90%,29.10%,"1515 Hughes Way Long Beach, CA  90810"
Los Angeles County Office of Education,"12,526","10,068","2,283",22.70%,"2,810","1,198",9.60%,56.60%,43.40%,"500 W Temple St, Los Angeles, CA 90012, USA"
